"Date","Open","High","Low","Close","Volume","Adj Close"
12/01/10,315.27,317.75,315,316.4,32815200,316.4
11/01/10,302.22,321.3,297.76,311.15,17020100,311.15
10/01/10,286.15,319,277.77,300.98,21539200,300.98
09/01/10,247.47,294.73,246.28,283.75,21298100,283.75
08/02/10,260.44,264.28,235.56,243.1,16249800,243.1
07/01/10,254.3,265.99,239.6,257.25,27411400,257.25
06/01/10,259.69,279.01,242.2,251.53,28231600,251.53
05/03/10,263.84,267.88,199.25,256.88,33746900,256.88
04/01/10,237.41,272.46,232.75,261.09,21955000,261.09
03/01/10,205.75,237.48,205.45,235,19541600,235
02/01/10,192.37,205.17,190.85,204.62,21209600,204.62
01/04/10,213.43,215.59,190.25,192.06,30855100,192.06
12/01/09,202.24,213.95,188.68,210.73,19068700,210.73
11/02/09,189.8,208,185.57,199.91,15856500,199.91
10/01/09,185.35,208.71,180.7,188.5,22197500,188.5
09/01/09,167.99,188.9,164.11,185.35,17906300,185.35
08/03/09,165.21,172.49,159.42,168.21,14415700,168.21
07/01/09,143.5,165,134.42,163.39,18449100,163.39
06/01/09,136.47,146.4,132.88,142.43,21282100,142.43
05/01/09,125.8,135.9,119.38,135.81,17702900,135.81
04/01/09,104.09,127.2,103.89,125.83,20952600,125.83
03/02/09,88.12,109.98,82.33,105.12,25963400,105.12
02/02/09,89.1,103,86.51,89.31,27394900,89.31
01/02/09,85.88,97.17,78.2,90.13,33487900,90.13
12/01/08,91.3,103.6,84.55,85.35,33800900,85.35
11/03/08,105.93,111.79,79.14,92.67,44957200,92.67
10/01/08,111.92,116.4,85,107.59,66902300,107.59
09/02/08,172.4,173.5,100.59,113.66,43697600,113.66
08/01/08,159.9,180.45,152.91,169.53,23273800,169.53
07/01/08,164.23,180.91,146.53,158.95,33096200,158.95
06/02/08,188.6,189.95,164.15,167.44,34281100,167.44
05/01/08,174.96,192.24,172,188.75,32650300,188.75
04/01/08,146.3,180,143.61,173.95,38841700,173.95
03/03/08,124.44,145.74,118,143.5,42313100,143.5
02/01/08,136.24,136.59,115.44,125.02,46645400,125.02
01/02/08,199.27,200.26,126.14,135.36,62108100,135.36
12/03/07,181.86,202.96,176.99,198.08,31771400,198.08
11/01/07,188.6,192.68,150.63,182.22,46553700,182.22
10/01/07,154.63,190.12,152.93,189.95,37438400,189.95
09/04/07,139.94,155,130,153.47,40500600,153.47
08/01/07,133.64,139.65,111.62,138.48,39188900,138.48
07/02/07,121.05,148.92,119.3,131.76,43845100,131.76
06/01/07,121.1,127.61,115.4,122.04,41526100,122.04
05/01/07,99.59,122.17,98.55,121.19,30295600,121.19
04/02/07,94.14,102.5,89.6,99.8,25136100,99.8
03/01/07,84.03,96.83,83.75,92.91,26816800,92.91
02/01/07,86.23,90.81,82.86,84.61,27522200,84.61
01/03/07,86.29,97.8,81.9,85.73,50117500,85.73
12/01/06,91.8,92.33,76.77,84.84,32084300,84.84
11/01/06,81.1,93.16,77.79,91.66,25009100,91.66
10/02/06,75.1,82.6,72.6,81.08,24171100,81.08
09/01/06,68.48,77.78,67.82,76.98,32370300,76.98
08/01/06,67.22,70,62.58,67.85,28668200,67.85
07/03/06,57.52,68.63,50.16,67.96,32808100,67.96
06/01/06,59.85,63.1,55.41,57.27,30318700,57.27
05/01/06,70.77,73.8,58.69,59.77,27418400,59.77
04/03/06,63.67,72.05,61.05,70.39,39246800,70.39
03/01/06,68.84,69.99,57.67,62.72,37277000,62.72
02/01/06,74.95,76.46,62.9,68.49,37646000,68.49
01/03/06,72.38,86.4,70.87,75.51,40699800,75.51
12/01/05,68.95,75.46,68.81,71.89,23279600,71.89
11/01/05,57.24,71.07,56.87,67.82,23898100,67.82
10/03/05,54.16,57.98,47.87,57.59,33306600,57.59
09/01/05,47,54.56,46.09,53.61,21903700,53.61
08/01/05,42.57,48.33,42.02,46.89,15223200,46.89
07/01/05,36.83,44.38,36.29,42.65,19029100,42.65
06/01/05,39.89,40.76,35.52,36.81,19067500,36.81
05/02/05,36.21,40.94,33.11,39.76,22555200,39.76
04/01/05,42.09,44.45,34,36.06,34093700,36.06
03/01/05,44.99,45.11,38.83,41.67,24857200,41.67
02/01/05,77.05,90.88,43.96,44.86,41542400,44.86
01/03/05,64.78,77.89,62.6,76.9,48909500,38.45
12/01/04,67.79,67.95,61.6,64.4,26342800,32.2
11/01/04,52.5,69.57,52.04,67.05,31408300,33.53
10/01/04,39.12,53.2,37.65,52.4,28749200,26.2
09/01/04,34.3,39.27,34.19,38.75,13772900,19.38
08/02/04,31.18,35.18,29.7,34.49,13616700,17.25
